Date,Close,Open,High,Low,Volume,Up&Down,Rate
2015-12-30,8820,8910,8920,8810,1508934,-0.898876404,
2016-01-04,8600,8820,8820,8580,1714060,-2.494331066,
2016-01-05,8680,8530,8780,8520,1573375,0.930232558,
2016-01-06,8680,8680,8710,8620,990437,0,
2016-01-07,8540,8630,8680,8530,1107519,-1.612903226,
2016-01-08,8540,8440,8580,8400,1463264,0,
2016-01-11,8400,8450,8490,8390,1205839,-1.639344262,
2016-01-12,8410,8430,8470,8380,880003,0.119047619,
2016-01-13,8540,8470,8590,8440,1016920,1.545778835,
2016-01-14,8480,8440,8480,8360,1223753,-0.702576112,
2016-01-15,8250,8490,8540,8220,1553929,-2.712264151,
2016-01-18,8470,8240,8470,8170,1548639,2.666666667,
2016-01-19,8350,8470,8470,8270,1334423,-1.416765053,
2016-01-20,8230,8350,8370,8140,1482815,-1.437125749,
2016-01-21,8340,8230,8390,8200,1878977,1.336573512,
2016-01-22,8400,8400,8540,8360,1016329,0.71942446,
2016-01-25,8450,8450,8510,8440,765637,0.595238095,
2016-01-26,8320,8400,8400,8220,931068,-1.538461538,
2016-01-27,8520,8420,8540,8370,1470412,2.403846154,
2016-01-28,8660,8500,8670,8450,1181559,1.643192488,
2016-01-29,8800,8700,8800,8630,2366906,1.616628176,
2016-02-01,8840,8850,8930,8740,1183703,0.454545455,
2016-02-02,8810,8770,8870,8700,1037084,-0.339366516,
2016-02-03,8580,8740,8740,8560,968285,-2.610669694,
2016-02-04,8800,8640,8800,8600,1175790,2.564102564,
2016-02-05,8980,8930,9170,8830,2494259,2.045454545,
2016-02-11,8590,8730,8770,8560,1507210,-4.34298441,
2016-02-12,8530,8510,8630,8460,1619585,-0.698486612,
2016-02-15,8810,8700,8870,8630,1443467,3.282532239,
2016-02-16,8690,8800,8850,8560,1839256,-1.362088536,
2016-02-17,8820,8690,8900,8670,1902050,1.495972382,
2016-02-18,8960,8960,9190,8860,2617743,1.587301587,
2016-02-19,8860,8910,8950,8810,886200,-1.116071429,
2016-02-22,8850,8860,8950,8790,655844,-0.112866817,
2016-02-23,8950,8910,8980,8900,1368405,1.129943503,
2016-02-24,8890,8950,8950,8830,1140068,-0.670391061,
2016-02-25,8900,8930,9000,8720,1862388,0.112485939,
2016-02-26,8780,8860,8920,8770,1403439,-1.348314607,
2016-02-29,8710,8800,8850,8700,1508961,-0.797266515,
2016-03-02,8830,8800,8840,8770,1162072,1.377726751,
2016-03-03,8920,8880,8950,8790,1874443,1.019252548,
2016-03-04,9180,8950,9200,8940,3296895,2.914798206,
2016-03-07,9270,9200,9370,9190,2335752,0.980392157,
2016-03-08,9300,9270,9340,9150,1849078,0.323624595,
2016-03-09,9320,9300,9420,9260,1793710,0.215053763,
2016-03-10,9360,9320,9390,9260,1416326,0.429184549,
2016-03-11,9390,9350,9450,9330,1378298,0.320512821,
2016-03-14,9460,9530,9530,9400,1831392,0.745473908,
2016-03-15,9440,9470,9500,9390,1372842,-0.21141649,
2016-03-16,9490,9450,9520,9410,1185506,0.529661017,
2016-03-17,9480,9490,9520,9440,1407246,-0.105374078,
2016-03-18,9450,9500,9500,9370,1361544,-0.316455696,
2016-03-21,9450,9480,9490,9400,746392,0,
2016-03-22,9440,9430,9460,9300,1643379,-0.105820106,
2016-03-23,9350,9460,9460,9300,1363427,-0.953389831,
2016-03-24,9260,9290,9340,9210,1243264,-0.962566845,
2016-03-25,9100,9260,9270,9070,1638371,-1.727861771,
2016-03-28,9160,9030,9180,9030,838245,0.659340659,
2016-03-29,9510,9210,9510,9200,2372512,3.820960699,
2016-03-30,9380,9460,9470,9320,1808995,-1.366982124,
2016-03-31,9460,9400,9500,9380,1634823,0.852878465,
2016-04-01,9420,9490,9500,9340,1388931,-0.422832981,
2016-04-04,9280,9370,9400,9180,1088920,-1.486199575,
2016-04-05,9240,9270,9390,9170,1411204,-0.431034483,
2016-04-06,9220,9190,9300,9160,683730,-0.216450216,
2016-04-07,9310,9270,9330,9230,955039,0.976138829,
2016-04-08,9250,9210,9260,9100,937490,-0.644468314,
2016-04-11,9290,9250,9290,9150,869662,0.432432432,
2016-04-12,9340,9270,9340,9210,864403,0.538213132,
2016-04-14,9690,9510,9690,9510,3878328,3.74732334,
2016-04-15,9770,9620,9800,9610,2090921,0.825593395,
2016-04-18,9830,9700,9860,9660,1439290,0.614124872,
2016-04-19,10050,9830,10100,9830,3093569,2.238046796,
2016-04-20,10150,10050,10250,10000,4056781,0.995024876,
2016-04-21,10400,10200,10450,10150,3061095,2.463054187,
2016-04-22,10600,10500,10750,10350,4610830,1.923076923,
2016-04-25,10600,10600,10700,10450,3170855,0,
2016-04-26,10650,10550,10650,10450,3441467,0.471698113,
2016-04-27,10800,10550,10800,10500,2673562,1.408450704,
2016-04-28,10550,10700,10800,10500,2842835,-2.314814815,
2016-04-29,10500,10450,10600,10350,1877988,-0.473933649,
2016-05-02,10250,10500,10500,10150,2458930,-2.380952381,
2016-05-03,10400,10350,10500,10300,1521194,1.463414634,
2016-05-04,10350,10300,10400,10100,1743923,-0.480769231,
2016-05-09,10200,10300,10400,10100,2048752,-1.449275362,
2016-05-10,10250,10200,10350,10200,1098458,0.490196078,
2016-05-11,10350,10350,10400,10250,1157940,0.975609756,
2016-05-12,10300,10350,10350,10200,1136197,-0.483091787,
2016-05-13,9890,10300,10350,9780,3312696,-3.980582524,
2016-05-16,9930,9910,10050,9790,1395580,0.404448938,
2016-05-17,10050,10000,10150,9940,1281792,1.208459215,
2016-05-18,10200,10000,10250,9900,2241632,1.492537313,
2016-05-19,10300,10250,10300,10150,2030794,0.980392157,
2016-05-20,10100,10300,10300,10050,939006,-1.941747573,
2016-05-23,10000,10100,10150,9920,888703,-0.99009901,
2016-05-24,9900,9990,9990,9900,1234988,-1,
2016-05-25,10100,10100,10200,10000,1443951,2.02020202,
2016-05-26,10050,10150,10200,10000,906757,-0.495049505,
2016-05-27,10350,10050,10350,10000,1836956,2.985074627,
2016-05-30,10000,10300,10350,9960,2271888,-3.381642512,
2016-05-31,9950,9980,10100,9920,5235837,-0.5,
2016-06-01,10000,9970,10150,9920,1339135,0.502512563,
2016-06-02,10000,10000,10150,9960,967519,0,
2016-06-03,10000,10050,10100,9960,1308550,0,
2016-06-07,10100,10000,10100,9980,953486,1,
2016-06-08,10200,10100,10200,10050,1521863,0.99009901,
2016-06-09,10000,10200,10300,10000,2964440,-1.960784314,
2016-06-10,10150,10100,10300,10050,1821229,1.5,
2016-06-13,10150,10150,10200,10050,1411900,0,
2016-06-14,10100,10150,10200,10000,1349386,-0.492610837,
2016-06-15,9980,10050,10050,9900,1771188,-1.188118812,
2016-06-16,9970,9990,10050,9920,1048151,-0.100200401,
2016-06-17,9860,10000,10050,9860,1128820,-1.10330993,
2016-06-20,10100,9980,10100,9960,1238167,2.434077079,
2016-06-21,10150,10100,10150,10050,841624,0.495049505,
2016-06-22,10250,10100,10300,10050,1269587,0.985221675,
2016-06-23,10250,10150,10250,10150,1052433,0,
2016-06-24,9780,10300,10350,9600,4521341,-4.585365854,
2016-06-27,9480,9400,9650,9390,4219917,-3.067484663,
2016-06-28,9400,9420,9490,9360,2291812,-0.843881857,
2016-06-29,9500,9470,9530,9420,1927002,1.063829787,
2016-06-30,9520,9600,9620,9440,1538002,0.210526316,
2016-07-01,9610,9530,9610,9510,1019954,0.945378151,
2016-07-04,9620,9630,9680,9580,884149,0.104058273,
2016-07-05,9620,9610,9620,9560,1424681,0,
2016-07-06,9430,9530,9550,9390,1484367,-1.975051975,
2016-07-07,9480,9450,9510,9400,1098936,0.530222694,
2016-07-08,9450,9480,9490,9400,918824,-0.316455696,
2016-07-11,9590,9520,9600,9470,1120653,1.481481481,
2016-07-12,9780,9630,9780,9590,1450248,1.981230448,
2016-07-13,9950,9800,9950,9790,1630883,1.738241309,
2016-07-14,9930,9930,9960,9850,1115990,-0.201005025,
2016-07-15,10100,9980,10100,9970,2515323,1.711983887,
2016-07-18,10200,10100,10200,10050,1403730,0.99009901,
2016-07-19,10200,10250,10250,10000,1886236,0,
2016-07-20,10150,10150,10250,10050,4452339,-0.490196078,
2016-07-21,10200,10150,10250,10100,2806282,0.492610837,
2016-07-22,10150,10150,10200,10050,2374838,-0.490196078,
2016-07-25,10300,10150,10400,10100,3787791,1.477832512,
2016-07-26,10400,10350,10500,10300,3266392,0.970873786,
2016-07-27,10400,10400,10400,10300,1162966,0,
2016-07-28,10150,10350,10400,10100,1734624,-2.403846154,
2016-07-29,10100,10150,10250,10050,1503535,-0.492610837,
2016-08-01,10250,10100,10300,10100,1172320,1.485148515,
2016-08-02,10100,10200,10250,10050,991252,-1.463414634,
2016-08-03,10000,10050,10100,9960,1467303,-0.99009901,
2016-08-04,9920,10000,10050,9890,1353976,-0.8,
2016-08-05,10000,9930,10100,9920,1365309,0.806451613,
2016-08-08,10300,10100,10350,10050,2112558,3,
2016-08-09,10400,10350,10450,10200,2171363,0.970873786,
2016-08-10,10350,10350,10400,10300,892007,-0.480769231,
2016-08-11,10300,10350,10400,10250,795361,-0.483091787,
2016-08-12,10400,10350,10450,10300,2002505,0.970873786,
2016-08-16,10300,10450,10450,10250,1623121,-0.961538462,
2016-08-17,10350,10300,10350,10200,632626,0.485436893,
2016-08-18,10300,10350,10400,10250,1071008,-0.483091787,
2016-08-19,10350,10250,10350,10200,793729,0.485436893,
2016-08-22,10250,10350,10350,10200,1139610,-0.966183575,
2016-08-23,10400,10350,10400,10300,1492189,1.463414634,
2016-08-24,10450,10400,10450,10350,984307,0.480769231,
2016-08-25,10450,10400,10450,10350,1457887,0,
2016-08-26,10400,10400,10450,10350,1056456,-0.4784689,
2016-08-29,10600,10400,10700,10350,3235118,1.923076923,
2016-08-30,10650,10650,10800,10600,2253845,0.471698113,
2016-08-31,10600,10700,10700,10550,1721306,-0.469483568,
2016-09-01,10850,10600,10850,10550,1568281,2.358490566,
2016-09-02,11000,10850,11100,10750,2545212,1.382488479,
2016-09-05,11100,11050,11200,11000,1396514,0.909090909,
2016-09-06,11250,11100,11250,11050,1415822,1.351351351,
2016-09-07,11350,11200,11400,11150,1867255,0.888888889,
2016-09-08,11350,11400,11500,11250,1933746,0,
2016-09-09,11200,11250,11400,11200,1904759,-1.321585903,
2016-09-12,11500,11100,11550,11050,2657788,2.678571429,
2016-09-13,11200,11550,11600,11200,1967254,-2.608695652,
2016-09-19,11200,11100,11200,10900,1660931,0,
2016-09-20,11200,11100,11350,11100,1143886,0,
2016-09-21,11550,11200,11600,11200,1985651,3.125,
2016-09-22,11200,11600,11650,11150,2337511,-3.03030303,
2016-09-23,11350,11300,11500,11200,1644852,1.339285714,
2016-09-26,11400,11550,11600,11400,1268017,0.440528634,
2016-09-27,11750,11400,11800,11300,1676082,3.070175439,
2016-09-28,11800,11600,11800,11600,1233942,0.425531915,
2016-09-29,11750,11800,11850,11600,1519851,-0.423728814,
2016-09-30,11400,11600,11750,11400,2301910,-2.978723404,
2016-10-04,11550,11400,11600,11400,1045701,1.315789474,
